table,item_name,url,description
t2,Railroad Unemployment Ins,http://www.rrb.gov/mep/nrrit.asp,"This line item reflects unemployment benefits paid by the Railroad Retirement Board, which administers retirement and survivor, unemployment and sickness benefits for U.S. railroad workers and their families."
t2,SEC: Stock Exchange Fees,http://www.sec.gov/,These are fees paid to the SEC by stock exchanges.
t2,Securities and Exchange Commission,http://www.sec.gov/,The Securities and Exchange Commission regulates the U.S. stock markets.
t2,Small Business Admin Loan Sales,http://www.sba.gov/,This line item reflects proceeds from loans sold by the Small Business Administration.
t2,Small Business Administration,http://www.sba.gov/,The Small Business Administration oversees loan and grant programs for small businesses.
t2,Social Security Benefits ( EFT ),http://www.ssa.gov/,These are benefits paid by the Social Security Administration via electronic funds transfer.
t2,State Department,http://www.state.gov/,The Department of State is the diplomatic arm of the U.S. government.
t2,Supple Security Income Benefits ( EFT ),http://www.ssa.gov/pgm/ssi.htm,These are disability benefit payments made by the Social Security Administration via electronic funds transfer.
t2,Supplemental Security Income,http://www.ssa.gov/pgm/ssi.htm,This line item shows money collected by states and deposited with the Treasur for the Social Security Administration's Supplemental Security Income Benefits program.
t2,TARP,http://www.treasury.gov/initiatives/financial-stability/TARP-Programs/Pages/default.aspx,"This line item tracks disbursements and repayments of the Troubled Asset Relief Program, the bailout fund created during the 2008 financial crisis to stabilize the economy. A portion of the program is accounted for separately under the line item 'Capital Purchase Program ( TARP )'."
t2,Temporary Assistance for Needy Families ( HHS ),http://www.acf.hhs.gov/programs/ofa/programs/tanf,"This is a program that provides financial assistance to poor families, commonly referred to as welfare."
t2,Tennessee Valley Authority,http://www.tva.com/,This is the government-owned power utility created during the Great Depression.
t2,Thrift Savings Plan Transfer,https://www.tsp.gov/index.shtml,"These are rollovers of retirement plans into the Thrift Savings Plan, which manages retirement benefits for Federal employees and their spouses."
t2,Total Deposits ( excluding transfers ),,"This line item totals up all the deposits each day received by Treasury, excluding the transfers detailed in Table V."
t2,Total Federal Reserve Account,,"This line item appears on both the deposit and withdrawal side of Table II. It subtotals the deposits and withdrawals for the Treasury's Federal Reserve Account, which is the main checking account of the U.S. government."
t2,Total Other Deposits,,This line item subtotals the items that appear under the 'Other Deposits' portion of the deposits side of Table II each day.
t2,Total Other Withdrawals,,This line item subtotals the items that appear under the 'Other Withdrawals' portion of the withdrawals side of Table II each day.
t2,Total Tax and Loan Note Accounts Table V,,"This line item is no longer in use. The Treasury Tax and Loan (TT&L) account summarized in Table V was the program through which Treasury invested its short term excess cash with outside banks until November 2008 when the program was suspended. Treasury subsequently decommissioned the legacy TT&L system through which investments were made.  In the beginning of October 2012, the program was renamed to 'Short Term Cash Investments,' which is the current name for Table V and related line items. Both names represent Treasury‰Ûªs short term cash investments (i.e. short term extra cash invested with external counterparties).    "
t2,Total Withdrawals ( excluding transfers ),,"This line item totals up all the withdrawals each day received by Treasury, excluding the transfers detailed in Table V."
